filename,label
legit_0000.eml,safe
phish_0000.eml,phishing
sample-1.eml,phishing
sample-2.eml,phishing
sample-3.eml,phishing
sample-4.eml,phishing
sample-5.eml,phishing
sample-6.eml,phishing
sample-7.eml,phishing
sample-8.eml,phishing
sample-9.eml,phishing
sample-10.eml,phishing
sample-11.eml,phishing
sample-12.eml,phishing
sample-13.eml,phishing
sample-14.eml,phishing
sample-15.eml,phishing
sample-16.eml,phishing
sample-17.eml,phishing
sample-18.eml,phishing
sample-19.eml,phishing
sample-20.eml,phishing
sample-21.eml,phishing
sample-22.eml,phishing
sample-23.eml,phishing
sample-24.eml,phishing
sample-25.eml,phishing
sample-26.eml,phishing
sample-27.eml,phishing
sample-28.eml,phishing
sample-29.eml,phishing
sample-30.eml,phishing
